Date,Open,High,Low,Close,Change (Pips)
"Sep 29, 2022 00:00",1659.58,1664.87,1641.51,1660.48,+90.0
"Sep 28, 2022 00:00",1628.01,1662.77,1614.83,1659.92,+3191.0
"Sep 27, 2022 00:00",1622.14,1642.46,1622.1,1629.16,+702.0
"Sep 26, 2022 00:00",1645.28,1649.7,1621.11,1622.43,-2285.0
"Sep 23, 2022 00:00",1671.36,1675.96,1639.67,1645.12,-2624.0
"Sep 22, 2022 00:00",1673.38,1684.86,1655.64,1671.22,-216.0
"Sep 21, 2022 00:00",1664.95,1688.07,1653.81,1673.73,+878.0
"Sep 20, 2022 00:00",1675.9,1679.48,1659.99,1664.8,-1110.0
"Sep 19, 2022 00:00",1674.86,1679.9,1659.64,1675.63,+77.0
"Sep 16, 2022 00:00",1664.71,1680.36,1654.11,1675.75,+1104.0
"Sep 15, 2022 00:00",1697.51,1698.27,1660.34,1664.63,-3288.0
"Sep 14, 2022 00:00",1701.77,1707.1,1693.63,1697.33,-444.0
"Sep 13, 2022 00:00",1724.94,1731.77,1697.02,1702.28,-2266.0
"Sep 12, 2022 00:00",1717.21,1735.12,1711.93,1724.65,+744.0
"Sep 09, 2022 00:00",1708.78,1729.46,1708.47,1717.5,+872.0
"Sep 08, 2022 00:00",1718.39,1728.18,1703.97,1708.47,-992.0
"Sep 07, 2022 00:00",1702.13,1719.39,1691.29,1718.24,+1611.0
"Sep 06, 2022 00:00",1709.61,1726.74,1699.83,1701.83,-778.0
"Sep 05, 2022 00:00",1711.71,1715.78,1707.75,1710.08,-163.0
"Sep 02, 2022 00:00",1696.58,1718,1694.99,1712.07,+1549.0
"Sep 01, 2022 00:00",1710.98,1711.38,1688.8,1697.49,-1349.0
"Aug 31, 2022 00:00",1723.48,1726.5,1709.66,1710.95,-1253.0
"Aug 30, 2022 00:00",1737.15,1740.48,1721.2,1724.25,-1290.0
"Aug 29, 2022 00:00",1735.96,1745.48,1720.32,1737.48,+152.0
"Aug 26, 2022 00:00",1758.57,1758.93,1734.15,1738.14,-2043.0
"Aug 25, 2022 00:00",1751.2,1765.53,1749.83,1758.64,+744.0
"Aug 24, 2022 00:00",1747.87,1755.84,1742.44,1751.22,+335.0
"Aug 23, 2022 00:00",1735.99,1754.07,1730.78,1747.76,+1177.0
"Aug 22, 2022 00:00",1746.83,1749.07,1727.75,1736.09,-1074.0
"Aug 19, 2022 00:00",1758.86,1759.3,1745.48,1746.88,-1198.0
"Aug 18, 2022 00:00",1762.32,1772.38,1755.31,1758.36,-396.0
"Aug 17, 2022 00:00",1775.64,1782.29,1759.8,1761.94,-1370.0
"Aug 16, 2022 00:00",1779.84,1783.15,1771.37,1775.45,-439.0
"Aug 15, 2022 00:00",1802.25,1802.25,1772.96,1779.41,-2284.0
"Aug 12, 2022 00:00",1789.65,1802.15,1784.92,1801.78,+1213.0
"Aug 11, 2022 00:00",1792.19,1799.24,1783.44,1789.42,-277.0
"Aug 10, 2022 00:00",1795.07,1807.9,1787.45,1792.17,-290.0
"Aug 09, 2022 00:00",1788.74,1800.4,1783.18,1794.29,+555.0
"Aug 08, 2022 00:00",1772.68,1790.02,1770.4,1788.95,+1627.0
"Aug 05, 2022 00:00",1790.79,1794.84,1764.94,1775.24,-1555.0
"Aug 04, 2022 00:00",1765.18,1794.91,1763.13,1791.09,+2591.0
"Aug 03, 2022 00:00",1761.36,1772.72,1754.24,1765.43,+407.0
"Aug 02, 2022 00:00",1771.99,1787.96,1760.4,1761,-1099.0
"Aug 01, 2022 00:00",1764.74,1775.18,1758.25,1772.08,+734.0
"Jul 29, 2022 00:00",1755.67,1767.92,1752.04,1765.84,+1017.0
"Jul 28, 2022 00:00",1734.09,1757.06,1733.81,1755.81,+2172.0
"Jul 27, 2022 00:00",1717.22,1740.14,1711.44,1734.25,+1703.0
"Jul 26, 2022 00:00",1719.02,1728.12,1713.56,1717.18,-184.0
"Jul 25, 2022 00:00",1726.62,1736.18,1714.69,1719.62,-700.0
